Geography,Gender,AgeGroup,CreditScoreGroup,BalanceSegment,TenureSegment,NumOfProducts,IsActiveMember,Balance,EstimatedSalary,SalarySegment,RiskSegment,RevenueLost,Exited
France,Male,46-60,Medium,High Balance,Mid-term Customer,1,0,113226.47,56770.76,Medium Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,118392.75,157564.75,High Salary,Normal,0,0
Germany,Female,46-60,High,High Balance,Long-term Customer,1,1,145262.54,131473.31,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,163505.16,90424.09,Medium Salary,High Risk,0,0
Spain,Female,30-45,High,High Balance,New Customer,2,1,118114.28,156660.21,High Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,3,0,108449.23,88372.69,Medium Salary,High Risk,108449.23,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,0,103294.56,160548.12,High Salary,High Risk,0,0
France,Male,30-45,High,High Balance,New Customer,1,0,119919.12,156868.21,High Salary,High Risk,0,0
France,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,128744.04,47454.93,Low Salary,Normal,0,0
Germany,Female,60+,Medium,High Balance,Long-term Customer,2,1,137727.34,121102.9,High Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Long-term Customer,1,0,106731.58,137419.87,High Salary,High Risk,106731.58,1
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,123544.21,157664.02,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,2,0,133968.96,148689.65,High Salary,High Risk,0,0
Spain,Male,60+,Medium,High Balance,Long-term Customer,1,1,126534.6,39789.62,Low Salary,Normal,0,0
Spain,Male,30-45,High,Low Balance,Mid-term Customer,2,0,87609.68,137674.55,High Salary,Normal,87609.68,1
Spain,Female,30-45,Medium,High Balance,New Customer,2,0,108960,111180.3,High Salary,High Risk,108960,1
France,Male,46-60,Medium,High Balance,Mid-term Customer,1,1,144953.31,165035.17,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,103544.88,193746.55,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,1,1,101487.18,75959.1,Medium Salary,Normal,101487.18,1
France,Male,46-60,High,High Balance,Long-term Customer,1,0,105355.81,123.07,Low Salary,High Risk,105355.81,1
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,77967.5,167066.95,High Salary,Normal,77967.5,1
Spain,Male,Under 30,Medium,High Balance,Long-term Customer,1,1,120047.77,137173.39,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,3,0,175464.85,116442.42,High Salary,High Risk,175464.85,1
France,Male,46-60,High,Low Balance,Long-term Customer,3,1,79475.3,32421.32,Low Salary,Normal,79475.3,1
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,1,167735.69,104665.79,High Salary,Normal,0,0
France,Female,30-45,High,Low Balance,New Customer,1,0,74385.98,20164.47,Low Salary,Normal,0,0
Germany,Male,46-60,Medium,Low Balance,Mid-term Customer,1,1,94754,26691.31,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,1,1,86920.86,150048.37,High Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,2,0,132077.48,192255.15,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,0,127847.86,173245.68,High Salary,High Risk,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,2,1,176702.36,104804.74,High Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,Long-term Customer,1,0,83555.58,69767.14,Medium Salary,Normal,0,0
Spain,Female,30-45,Medium,Low Balance,Mid-term Customer,1,0,96858.35,77511.45,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,3,1,132796.04,191821.35,High Salary,Normal,132796.04,1
Spain,Female,30-45,High,High Balance,New Customer,1,1,154970.54,156768.45,High Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,1,0,88902.21,73731.32,Medium Salary,Normal,0,0
France,Male,Under 30,Low,Low Balance,Mid-term Customer,1,0,98738.92,122190.22,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,1,137456.28,14113.11,Low Salary,Normal,0,0
France,Female,46-60,Low,Low Balance,Mid-term Customer,1,0,73937.02,161937.62,High Salary,Normal,73937.02,1
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,158621.04,120892.96,High Salary,High Risk,158621.04,1
Spain,Male,30-45,Medium,High Balance,New Customer,1,1,113257.2,65035.02,Medium Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,Long-term Customer,1,0,116536.43,51987.99,Medium Salary,High Risk,0,0
France,Female,46-60,Medium,High Balance,Mid-term Customer,1,0,101070.69,177355.8,High Salary,High Risk,101070.69,1
Germany,Female,30-45,Medium,High Balance,New Customer,3,1,127331.46,176433.6,High Salary,Normal,0,0
France,Male,46-60,Medium,High Balance,New Customer,1,0,105969.42,5771.56,Low Salary,High Risk,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,119547.46,42693.65,Low Salary,Normal,0,0
Spain,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,138668.18,54144.01,Medium Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Mid-term Customer,2,1,51582.5,184312.88,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,169902.92,128256.18,High Salary,Normal,0,0
France,Female,Under 30,Medium,Low Balance,Mid-term Customer,2,0,87262.4,182720.07,High Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,New Customer,1,1,150348.37,173784.04,High Salary,Normal,0,0
Germany,Female,46-60,High,High Balance,New Customer,2,0,115074.02,26249.86,Low Salary,High Risk,0,0
France,Male,Under 30,High,Low Balance,Long-term Customer,1,0,99986.98,196582.55,High Salary,Normal,0,0
Germany,Female,60+,High,High Balance,New Customer,1,0,110357,141977.54,High Salary,High Risk,110357,1
Germany,Male,30-45,High,High Balance,Long-term Customer,2,1,166685.92,55313.51,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,95312.8,62944.75,Medium Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,0,202443.47,72375.03,Medium Salary,High Risk,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,1,0,109493.62,188324.01,High Salary,High Risk,109493.62,1
Germany,Male,30-45,Medium,Low Balance,Long-term Customer,2,1,88977.39,133403.07,High Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,New Customer,1,0,104982.57,157378.5,High Salary,High Risk,0,0
Germany,Female,46-60,Medium,High Balance,Long-term Customer,2,0,154110.99,101240.08,High Salary,High Risk,154110.99,1
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,185714.28,102502.5,High Salary,Normal,0,0
Germany,Female,Under 30,Medium,High Balance,New Customer,2,1,116022.53,37577.66,Low Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,New Customer,1,0,164011.48,199420.41,High Salary,High Risk,0,0
France,Male,30-45,High,High Balance,New Customer,1,1,101514.89,121765,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,0,134599.33,183095.87,High Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,1,147511.26,159891.03,High Salary,Normal,0,0
France,Male,Under 30,High,Low Balance,New Customer,1,1,78396.08,8316.19,Low Salary,Normal,0,0
France,Female,30-45,High,High Balance,New Customer,1,1,110581.29,94715.24,Medium Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Long-term Customer,2,0,151836.36,68695.38,Medium Salary,High Risk,0,0
Germany,Male,30-45,Low,Low Balance,Mid-term Customer,2,0,83624.55,36899.62,Low Salary,Normal,0,0
France,Male,Under 30,High,High Balance,New Customer,2,0,148197.15,182775.08,High Salary,High Risk,0,0
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,122924.75,62390.59,Medium Salary,High Risk,122924.75,1
France,Female,30-45,Medium,Low Balance,Mid-term Customer,1,1,72594,76042.48,Medium Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,115221.36,70956.75,Medium Salary,Normal,0,0
Germany,Male,46-60,Low,High Balance,Long-term Customer,2,1,117808.74,67311.12,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,147754.68,110454.46,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,1,113292.17,122639.73,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,1,1,115163.38,97677.52,Medium Salary,Normal,115163.38,1
Germany,Male,46-60,High,High Balance,Long-term Customer,1,1,118098.62,100720.02,High Salary,Normal,118098.62,1
Spain,Male,30-45,Medium,High Balance,New Customer,1,0,120825.7,28257.89,Low Salary,High Risk,0,0
Germany,Male,60+,Medium,High Balance,Mid-term Customer,2,1,133845.28,45180.8,Low Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,Mid-term Customer,1,1,108541.04,126469.09,High Salary,Normal,0,0
Spain,Female,30-45,High,High Balance,New Customer,1,0,113817.06,88333.74,Medium Salary,High Risk,0,0
France,Male,Under 30,Medium,High Balance,Long-term Customer,1,0,137300.23,90174.83,Medium Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,158024.38,81298.09,Medium Salary,High Risk,0,0
France,Female,30-45,Low,High Balance,Mid-term Customer,1,1,127837.54,60013.17,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,161533,100940.91,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,161171.7,12599.94,Low Salary,High Risk,161171.7,1
Spain,Male,30-45,Medium,Low Balance,Long-term Customer,1,1,80958.36,128590.73,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,2,1,146193.6,55796.83,Medium Salary,Normal,146193.6,1
Germany,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,115021.76,162443.05,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,New Customer,1,1,126773.43,55551.26,Medium Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,New Customer,1,1,92889.91,109496.69,High Salary,Normal,0,0
France,Male,60+,High,High Balance,Mid-term Customer,1,1,146622.35,41815.22,Low Salary,Normal,146622.35,1
Germany,Male,30-45,High,High Balance,Mid-term Customer,1,0,131038.14,74005.04,Medium Salary,High Risk,131038.14,1
France,Female,46-60,Medium,Low Balance,Mid-term Customer,1,0,88820.29,70224.34,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,New Customer,1,0,115406.97,145528.22,High Salary,High Risk,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,1,132951.92,124486.28,High Salary,Normal,0,0
Germany,Male,60+,Medium,High Balance,Mid-term Customer,1,0,108891.7,10078.02,Low Salary,High Risk,0,0
Germany,Female,46-60,High,High Balance,Mid-term Customer,2,0,141788.63,164967.21,High Salary,High Risk,0,0
Spain,Female,60+,Medium,High Balance,Mid-term Customer,1,1,116954.32,91149.48,Medium Salary,Normal,0,0
Germany,Female,46-60,High,Low Balance,Long-term Customer,2,0,90450,103379.31,High Salary,Normal,90450,1
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,1,125997.22,128049.34,High Salary,Normal,125997.22,1
Spain,Female,30-45,High,High Balance,Mid-term Customer,2,0,144637.86,40496.72,Low Salary,High Risk,0,0
France,Female,Under 30,Medium,Low Balance,New Customer,1,0,86616.35,91903.9,Medium Salary,Normal,86616.35,1
Germany,Female,46-60,Medium,High Balance,New Customer,2,0,127924.25,32202.61,Low Salary,High Risk,0,0
France,Female,Under 30,High,High Balance,Long-term Customer,1,1,131240.61,163746.09,High Salary,Normal,131240.61,1
Spain,Male,30-45,High,High Balance,Mid-term Customer,2,0,120046.74,84710.65,Medium Salary,High Risk,0,0
France,Female,30-45,Low,Low Balance,Long-term Customer,1,1,97819.36,120531.31,High Salary,Normal,0,0
Spain,Female,60+,Medium,Low Balance,New Customer,1,1,62979.93,152273.57,High Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Long-term Customer,1,1,161450.03,96961,Medium Salary,Normal,161450.03,1
France,Male,46-60,High,High Balance,Long-term Customer,2,0,119496.25,29880.99,Low Salary,High Risk,0,0
France,Male,60+,Medium,Low Balance,New Customer,3,0,43772.66,187756.24,High Salary,Normal,43772.66,1
France,Male,30-45,Medium,High Balance,Long-term Customer,2,1,100249.41,67599.69,Medium Salary,Normal,0,0
France,Female,46-60,High,High Balance,Mid-term Customer,2,0,108028.08,25980.42,Low Salary,High Risk,108028.08,1
Germany,Male,60+,Medium,Low Balance,New Customer,2,1,53013.29,112222.64,High Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,New Customer,1,0,122088.67,42581.09,Low Salary,High Risk,0,0
Germany,Male,Under 30,Medium,Low Balance,Long-term Customer,1,1,90544,4777.23,Low Salary,Normal,0,0
France,Male,30-45,High,High Balance,New Customer,4,1,141252.18,128521.16,High Salary,Normal,141252.18,1
France,Female,30-45,Low,High Balance,Mid-term Customer,2,0,147813.05,109029.72,High Salary,High Risk,0,0
France,Male,46-60,High,High Balance,Mid-term Customer,1,0,134140.68,2267.88,Low Salary,High Risk,0,0
France,Female,30-45,High,High Balance,New Customer,4,0,128548.49,75478.95,Medium Salary,High Risk,128548.49,1
France,Male,30-45,Medium,High Balance,Long-term Customer,2,1,122198.21,179144.54,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,1,0,145177.84,193471.74,High Salary,High Risk,145177.84,1
Spain,Female,30-45,High,Low Balance,New Customer,1,0,94222.53,103570.8,High Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,1,0,143212.22,102628.56,High Salary,High Risk,143212.22,1
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,143350.41,192070.16,High Salary,Normal,143350.41,1
France,Female,30-45,Medium,High Balance,New Customer,1,1,130931.83,144808.37,High Salary,Normal,0,0
France,Female,30-45,High,High Balance,Mid-term Customer,1,0,137851.31,5008.23,Low Salary,High Risk,137851.31,1
France,Male,46-60,Low,High Balance,New Customer,1,1,140614.15,174381.23,High Salary,Normal,0,0
Spain,Male,Under 30,Medium,High Balance,New Customer,1,1,118680.57,49829.8,Low Salary,Normal,0,0
Germany,Male,30-45,High,High Balance,Mid-term Customer,1,1,122917.69,76169.68,Medium Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Mid-term Customer,2,1,131754.11,38761.61,Low Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,Long-term Customer,1,0,119948.09,48217.97,Low Salary,High Risk,119948.09,1
Spain,Female,30-45,Low,Low Balance,New Customer,1,1,97266.1,92797.23,Medium Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Long-term Customer,1,0,113690.83,33114.24,Low Salary,High Risk,0,0
Spain,Female,30-45,Medium,Low Balance,Mid-term Customer,2,0,99056.22,154347.95,High Salary,Normal,99056.22,1
Spain,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,116338.68,155743.48,High Salary,Normal,0,0
France,Male,30-45,High,Low Balance,Mid-term Customer,1,1,97339.99,88815.25,Medium Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,2,1,137592.31,116548.02,High Salary,Normal,137592.31,1
Germany,Male,30-45,High,High Balance,Mid-term Customer,2,0,108760.27,166324.79,High Salary,High Risk,108760.27,1
Germany,Male,30-45,Medium,High Balance,New Customer,2,1,128770.88,40199.01,Low Salary,Normal,0,0
Spain,Female,30-45,Medium,Low Balance,New Customer,1,1,44054.84,73329.08,Medium Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,New Customer,1,0,119657.53,145387.05,High Salary,High Risk,119657.53,1
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,2,0,108797.63,140763.18,High Salary,High Risk,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,1,0,102025.32,133051.64,High Salary,High Risk,102025.32,1
Spain,Female,Under 30,Medium,High Balance,Long-term Customer,2,0,122446.61,86791.9,Medium Salary,High Risk,0,0
France,Female,Under 30,High,High Balance,Mid-term Customer,2,1,158786.67,47579.25,Low Salary,Normal,0,0
France,Male,Under 30,Medium,High Balance,New Customer,1,1,125689.29,151623.71,High Salary,Normal,0,0
Germany,Male,Under 30,High,High Balance,New Customer,1,1,154640.41,164039.51,High Salary,Normal,0,0
Germany,Female,46-60,High,High Balance,Mid-term Customer,1,0,146710.76,16528.4,Low Salary,High Risk,146710.76,1
Germany,Male,60+,Medium,High Balance,Mid-term Customer,1,1,136709.35,66753.1,Medium Salary,Normal,136709.35,1
Germany,Male,30-45,High,High Balance,Mid-term Customer,2,1,129305.09,19244.58,Low Salary,Normal,0,0
France,Female,Under 30,High,Low Balance,New Customer,2,1,82844.33,1408.68,Low Salary,Normal,0,0
Germany,Female,30-45,High,Low Balance,Long-term Customer,1,1,76692.22,30396.43,Low Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,0,117715.84,2498.67,Low Salary,High Risk,0,0
France,Male,46-60,Medium,Low Balance,Long-term Customer,1,1,87105.32,55346.14,Medium Salary,Normal,0,0
France,Female,60+,High,Low Balance,New Customer,1,1,69311.16,59237.72,Medium Salary,Normal,0,0
Spain,Female,30-45,Medium,Low Balance,Long-term Customer,2,1,66948.67,140759.03,High Salary,Normal,0,0
Spain,Male,60+,Medium,High Balance,New Customer,2,1,128410.71,181718.73,High Salary,Normal,0,0
Germany,Male,30-45,Medium,Low Balance,New Customer,1,0,99897.53,37054.65,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,152622.34,99298.8,Medium Salary,High Risk,0,0
France,Male,46-60,Medium,High Balance,Mid-term Customer,2,1,138227.19,55287.84,Medium Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,New Customer,1,1,111395.53,48197.06,Low Salary,Normal,0,0
Germany,Male,30-45,Low,Low Balance,Mid-term Customer,1,0,84386.57,178642.73,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,2,0,174673.65,33300.56,Low Salary,High Risk,0,0
Germany,Male,46-60,Medium,High Balance,Mid-term Customer,2,1,109019.65,33680.56,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,New Customer,1,0,107906.75,168886.39,High Salary,High Risk,107906.75,1
France,Male,46-60,Medium,High Balance,Mid-term Customer,1,0,128914.97,191746.23,High Salary,High Risk,128914.97,1
Spain,Male,60+,High,High Balance,Long-term Customer,1,1,111179.83,93091.02,Medium Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Long-term Customer,1,0,124099.13,23904.52,Low Salary,High Risk,0,0
Germany,Male,46-60,Medium,High Balance,Long-term Customer,1,1,122471.09,15807.07,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,2,1,134692.4,83773.02,Medium Salary,Normal,0,0
France,Female,Under 30,Medium,High Balance,Mid-term Customer,1,1,123816.5,90162.35,Medium Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,New Customer,1,1,106288.54,36639.25,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,2,0,127723.25,139469.11,High Salary,High Risk,127723.25,1
Spain,Male,30-45,Medium,High Balance,New Customer,1,1,145843.82,198402.37,High Salary,Normal,145843.82,1
Germany,Female,30-45,High,High Balance,New Customer,1,0,148200.72,194584.48,High Salary,High Risk,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,0,104145.65,159629.64,High Salary,High Risk,0,0
Germany,Male,Under 30,Medium,High Balance,Long-term Customer,1,0,142755.25,34231.48,Low Salary,High Risk,0,0
Germany,Female,60+,Medium,Low Balance,New Customer,1,0,81245.79,69643.31,Medium Salary,Normal,81245.79,1
Germany,Female,30-45,Medium,High Balance,New Customer,2,0,168560.46,90270.16,Medium Salary,High Risk,0,0
Germany,Male,30-45,High,High Balance,New Customer,2,1,132193.94,162865.52,High Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,Long-term Customer,1,0,139330.1,54372.37,Medium Salary,High Risk,0,0
France,Female,Under 30,High,High Balance,New Customer,1,1,134571.5,118313.38,High Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,New Customer,2,0,143829.2,181224.24,High Salary,High Risk,143829.2,1
France,Female,30-45,Medium,High Balance,Long-term Customer,1,1,133444.97,5708.19,Low Salary,Normal,0,0
Germany,Female,Under 30,Medium,High Balance,Mid-term Customer,2,0,104753.84,56756.52,Medium Salary,High Risk,104753.84,1
Germany,Female,46-60,Medium,High Balance,New Customer,1,0,116574.84,4121.04,Low Salary,High Risk,116574.84,1
France,Female,30-45,High,High Balance,Long-term Customer,1,1,176914.8,12799.23,Low Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Long-term Customer,2,1,68348.18,50400.32,Medium Salary,Normal,0,0
France,Male,30-45,High,Low Balance,New Customer,2,1,56726.83,185543.35,High Salary,Normal,0,0
Spain,Male,46-60,Medium,Low Balance,New Customer,1,1,65269.23,189988.65,High Salary,Normal,65269.23,1
Spain,Male,30-45,Medium,Low Balance,Mid-term Customer,1,1,66220.17,170819.01,High Salary,Normal,0,0
France,Female,30-45,Medium,Low Balance,Long-term Customer,1,0,96147.55,137037.97,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Long-term Customer,1,1,145330.43,132038.65,High Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Mid-term Customer,2,1,124192.28,50881.51,Medium Salary,Normal,0,0
Germany,Female,46-60,High,High Balance,Mid-term Customer,1,1,111288.18,149170.25,High Salary,Normal,111288.18,1
France,Male,30-45,High,High Balance,Mid-term Customer,1,0,107805.67,182505.68,High Salary,High Risk,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,1,0,103700.69,194072.56,High Salary,High Risk,103700.69,1
France,Female,Under 30,Medium,Low Balance,New Customer,1,1,87739.08,123096.56,High Salary,Normal,0,0
Spain,Female,Under 30,Medium,High Balance,New Customer,1,1,133313.34,3965.69,Low Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,154902.66,49667.28,Low Salary,Normal,0,0
Germany,Male,60+,High,High Balance,Mid-term Customer,1,0,112595.85,35865.44,Low Salary,High Risk,112595.85,1
Germany,Male,30-45,High,High Balance,New Customer,1,1,119695.75,26136.13,Low Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Long-term Customer,2,1,152614.51,188782.3,High Salary,Normal,0,0
Germany,Female,30-45,Medium,High Balance,Mid-term Customer,2,0,131647.01,79775.19,Medium Salary,High Risk,0,0
France,Male,Under 30,High,Low Balance,Mid-term Customer,2,0,96654.72,152740.16,High Salary,Normal,0,0
France,Male,Under 30,Medium,High Balance,New Customer,1,1,137583.04,5791.85,Low Salary,Normal,0,0
Germany,Female,Under 30,High,Low Balance,New Customer,2,1,62717.84,13182.43,Low Salary,Normal,0,0
France,Male,30-45,Medium,Low Balance,Long-term Customer,1,1,95377.13,187551.24,High Salary,Normal,0,0
Spain,Male,Under 30,Medium,High Balance,New Customer,2,1,135936.1,110560.14,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,3,1,161591.11,63795.62,Medium Salary,Normal,0,0
France,Male,46-60,High,High Balance,Long-term Customer,1,1,142382.03,62086.62,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,Mid-term Customer,1,1,127043.09,8247,Low Salary,Normal,0,0
Germany,Female,Under 30,Medium,Low Balance,Mid-term Customer,2,1,78885.88,26927.69,Low Salary,Normal,0,0
Spain,Female,30-45,Medium,Low Balance,Long-term Customer,1,0,95922.9,84782.42,Medium Salary,Normal,95922.9,1
France,Female,30-45,Medium,Low Balance,New Customer,1,1,91711.59,95393.43,Medium Salary,Normal,0,0
Germany,Female,46-60,Medium,High Balance,Long-term Customer,2,1,110031.09,133995.59,High Salary,Normal,0,0
France,Male,30-45,High,Low Balance,Mid-term Customer,2,1,81210.72,108003.38,High Salary,Normal,0,0
Germany,Male,30-45,Medium,High Balance,Mid-term Customer,1,1,122947.92,99154.86,Medium Salary,Normal,0,0
France,Female,30-45,Medium,High Balance,New Customer,1,0,182065.85,49503.5,Low Salary,High Risk,0,0
Spain,Female,30-45,Low,Low Balance,New Customer,2,0,69974.66,188426.13,High Salary,Normal,69974.66,1
France,Female,30-45,High,High Balance,Long-term Customer,2,0,123711.73,171340.68,High Salary,High Risk,123711.73,1
France,Male,30-45,Medium,Low Balance,Mid-term Customer,1,0,76495.04,79071.89,Medium Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,New Customer,1,0,121874.89,6865.41,Low Salary,High Risk,121874.89,1
France,Male,30-45,Medium,High Balance,Mid-term Customer,1,0,188455.19,47031.4,Low Salary,High Risk,188455.19,1
France,Female,30-45,High,Low Balance,New Customer,2,0,99045.93,47160.01,Low Salary,Normal,0,0
Germany,Female,30-45,High,High Balance,New Customer,2,0,205770.78,65464.66,Medium Salary,High Risk,0,0
France,Female,30-45,Medium,Low Balance,New Customer,1,0,79340.95,78255.86,Medium Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,Long-term Customer,2,1,138456.03,103548.25,High Salary,Normal,0,0
Germany,Male,46-60,Medium,High Balance,New Customer,2,1,101099.9,193476.04,High Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,Long-term Customer,1,0,109219.83,52827.51,Medium Salary,High Risk,0,0
Germany,Male,60+,High,High Balance,New Customer,2,1,123276.69,86507.88,Medium Salary,Normal,123276.69,1
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,1,113034.31,100423.88,High Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,Mid-term Customer,2,1,129548.5,19282.85,Low Salary,Normal,0,0
France,Female,60+,Medium,Low Balance,Mid-term Customer,1,1,74812.84,27448.33,Low Salary,Normal,0,0
Germany,Female,Under 30,Medium,High Balance,New Customer,2,0,153538.13,110776.01,High Salary,High Risk,0,0
Spain,Male,30-45,Low,High Balance,New Customer,1,1,155619.36,166692.03,High Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,Long-term Customer,2,1,159693.9,71173.64,Medium Salary,Normal,0,0
Spain,Male,30-45,Medium,High Balance,New Customer,1,1,171653.17,5353.12,Low Salary,Normal,0,0
Germany,Female,30-45,Medium,Low Balance,New Customer,2,1,47685.47,86019.48,Medium Salary,Normal,0,0
Spain,Male,Under 30,Medium,High Balance,Mid-term Customer,1,1,123692,70548.96,Medium Salary,Normal,0,0
Germany,Male,Under 30,Medium,High Balance,New Customer,2,1,148853.29,24411.02,Low Salary,Normal,0,0
France,Male,30-45,Medium,High Balance,New Customer,1,1,133161.95,122254.86,High Salary,Normal,0,0
Germany,Male,Under 30,High,High Balance,Mid-term Customer,2,0,143221.35,186035.72,High Salary,High Risk,0,0
Germany,Male,30-45,Medium,High Balance,Long-term Customer,2,0,126265.88,15859.95,Low Salary,High Risk,0,0
Spain,Male,30-45,Medium,High Balance,Long-term Customer,1,1,112713.34,176868.89,High Salary,Normal,0,0
France,Male,30-45,High,High Balance,Mid-term Customer,1,1,141173.03,98896.06,Medium Salary,Normal,0,0
Spain,Male,30-45,High,High Balance,Mid-term Customer,1,1,118866.36,163317.5,High Salary,Normal,0,0
Spain,Female,46-60,Medium,Low Balance,Mid-term Customer,2,0,92316.31,158590.66,High Salary,Normal,92316.31,1
Germany,Male,30-45,Medium,High Balance,New Customer,1,0,122185.53,102566.46,High Salary,High Risk,122185.53,1
